object_id,Ada,Add3,Adh6a,Agr2,Ahnak,Aldh1b1,Aldob,Alpi,Ang4,Anxa1,Anxa10,Anxa13,Anxa5,Apoa1,Apoa4,Apob,Apobec1,Apoc2,Atf5,Axin2,Basp1,Btc,Cavin3,Ccdc71l,Cck,Ccl25,Ccn2,Ccna2,Cdca7,Chga,Chgb,Clca1,Clca3b,Clps,Clu,Cpe,Cps1,Cryab,Cyp2c29,Dclk1,Egfr,F3,Fabp1,Fcgbp,Fos,GFP,Gkn3,Gstm1,Gstm3,Gstt1,Guca2a,H4c9,Hepacam2,Hook1,Ier3,Il18,Il1rn,Insm1,Itln1,Jaml,Junb,Kcne3,Klf4,Lgals3,Lgr5,Lor,Ly6a,Ly6d,Lypd8,Lyz1,Mal,Mki67,Mmp7,Msln,Muc2,Myb,Ndrg1,Neurod1,Neurog3,Nlrp6,Npc1l1,Nt5e,Nupr1,Olfm4,Pclaf,Pclo,Pcsk1,Pigr,Plat,Plaur,Pmepa1,Ppp1r1b,Prap1,Prxl2a,Pycard,Rab3c,Rbp2,Reg1,Reg3a,Reg3b,Reg3g,Reg4,Rgcc,Rhoc,Rnase1,Rps23,S100a7a,S100g,Scg2,Sct,Selenom,Serpinb9b,Sis,Slc12a2,Slc15a1,Slc28a2,Slc2a2,Slc2a5,Slc5a1,Slc7a7,Slc7a8,Slc7a9,Smim24,Smoc2,Spink4,Sprr1a,Sptssb,Sqstm1,Sult6b2,Tac1,Tff3,Tm4sf20,Tm4sf4,Tph1,Tuba1a,Txndc5,Vim,Yap1,Zfp36l2,Zg16
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,23,0,0,0,0,6,2,0,0,0,0,5,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,1,33,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,1,17,0,0,0,0,0,1,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0,2,1,0
100,0,0,0,0,38,1,1,0,0,36,7,0,0,0,0,12,0,0,6,0,2,5,0,3,0,0,0,0,1,0,0,0,0,1,112,21,0,0,0,0,2,183,0,0,1,0,0,0,0,0,0,0,3,0,13,0,1,0,1,0,8,0,1,10,0,1,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,2,0,1,3,0,0,2,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,11,1,0,0,0,0,0,0
1000,4,0,0,0,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,2,1,0
10000,0,0,0,0,188,0,1,0,0,0,19,8,0,0,2,63,1,0,1,0,6,31,0,4,0,0,7,0,0,1,0,0,0,1,5,16,4,0,0,0,4,25,0,0,87,0,1,0,0,1,0,0,0,0,23,0,1,2,0,0,28,1,16,62,0,9,0,0,0,1,0,1,0,164,0,1,1,1,0,0,2,0,0,0,0,0,0,0,3,0,12,1,0,10,5,1,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,5,1,4,0,2,3,0,0,4,0,1,0,0,0,1,1,21,0,0,0,0,176,2,0,0,1,5,1,0
10001,1,0,0,0,68,2,32,0,0,0,14,7,0,168,0,48,0,1,1,0,2,1,0,2,0,0,4,1,0,0,0,1,1,0,3,4,0,1,0,0,1,1,0,0,48,140,1,120,0,0,0,2,0,0,21,1,0,2,0,0,5,0,11,40,1,1,1,0,0,2,0,0,0,89,1,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,8,17,0,0,5,0,0,0,1,0,0,0,0,1,1,1,1,0,0,8,0,0,1,0,4,0,1,1,0,1,0,1,0,0,5,6,1,0,1,0,233,2,0,0,0,3,0,0
10002,0,1,0,0,1,0,87,0,0,4,0,0,0,0,0,0,0,0,8,0,2,0,0,0,32,0,1,1,0,0,151,0,0,0,0,15,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,13,2,0,0,1,0,0,6,0,0,5,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,1,0,1,0,0,0,6,0,0,1,3,0,0,0,0,2,0,0,0,0,14,0,1,1,0,2,0,0
10003,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,1,0
10004,38,1,0,0,4,0,83,3,0,0,2,0,0,11,41,6,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,19,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,2,0,5,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,10,5,0,0,40,0,0,0,0,2,0,0,1,2,0,0,0,0,0,2,0,0,0,1,2,1,2,0,0,2,1,0,0,0,0,4,0,0,1,2,57,0,1,0,1,1,1,4
10005,0,0,0,0,66,0,0,0,0,1,4,0,0,55,0,34,0,0,3,0,0,5,0,1,0,1,12,0,1,0,0,0,9,0,2,1,0,0,0,0,9,2,0,0,8,109,0,75,0,0,0,0,0,1,26,0,0,0,0,0,3,0,0,13,1,0,6,0,0,2,0,0,0,7,1,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,60,1,0,0,0,0,3,0
10006,12,0,0,0,77,3,40,0,0,2,20,26,0,12,6,59,1,5,0,0,1,43,2,4,0,0,0,0,1,0,0,0,0,2,17,8,0,0,0,0,3,13,13,0,9,0,0,0,0,1,0,0,0,0,1,1,3,0,0,0,13,0,18,18,0,0,0,22,3,1,0,1,0,138,0,1,0,2,1,0,1,13,1,1,0,0,2,2,1,0,1,0,2,22,0,1,55,0,0,0,2,0,0,2,0,0,0,0,1,0,0,3,1,0,4,1,1,0,1,2,0,2,3,0,0,0,5,12,3,0,0,2,462,1,0,0,1,5,2,0
10007,0,1,0,0,39,0,0,0,0,0,14,2,0,0,1,9,0,1,5,0,5,11,0,0,0,0,2,0,0,0,0,0,0,1,21,0,0,0,0,0,2,87,0,0,1,0,4,0,0,0,0,0,0,1,27,0,8,0,0,0,7,1,7,2,1,0,0,0,1,1,4,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,6,0,0,1,0,0,0,1,0,0,1,0,1,0,2,0,0,0,2,0,2,0,0,2,0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,36,0,0,0,0,4,0,0
10008,17,0,0,2,1,0,39,2,0,0,1,0,0,12,17,1,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,8,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,3,0,0,1,0,0,0,3,49,0,0,0,0,0,0,15
10009,1,0,0,1,39,0,12,1,0,0,8,2,0,29,8,4,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,3,0,1,17,2,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,11,3,0,0,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10,9,0,1,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3,0,0,0,1,127,0,0,0,0,1,0,0
1001,1,0,0,0,14,0,0,0,0,40,11,2,0,0,0,3,1,0,2,0,8,6,0,0,0,0,0,0,0,0,0,0,9,1,17,16,2,1,0,0,12,41,0,0,10,0,0,0,0,0,0,0,1,0,15,0,32,0,0,0,11,0,1,8,0,0,0,4,0,0,0,2,0,41,0,0,0,0,1,1,0,0,1,0,0,0,0,0,6,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,0,5,1,0,1,0,0,1,1,0,0,1,0,21,0,0,0,0,1,0,0,0,0,2,0,0
10010,4,1,0,0,2,0,58,0,0,0,4,0,0,10,5,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,10,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,3,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,6,1,0,1,0,0,0,2,36,0,0,0,0,1,0,10
10011,0,1,0,0,99,1,41,0,0,1,14,12,1,0,1,9,1,0,6,0,0,10,0,0,0,1,0,0,1,0,0,0,0,1,8,1,0,0,0,0,2,10,0,0,16,0,0,0,0,1,0,0,0,2,9,3,8,0,0,1,17,0,21,38,0,0,0,2,0,0,0,2,0,170,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,10,8,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,6,5,0,0,0,1,180,0,0,0,2,3,2,0
10012,0,2,0,1,74,0,7,0,0,0,8,8,0,0,4,10,0,0,3,0,0,13,0,2,0,1,2,0,0,0,0,0,0,0,10,7,1,0,0,0,3,44,0,0,13,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,13,0,10,7,0,2,1,1,0,0,0,0,0,106,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,1,1,49,0,0,1,1,4,0,0
10013,0,0,0,0,33,0,0,0,0,2,8,1,0,0,0,6,3,0,8,0,4,5,0,0,0,0,26,0,0,0,0,0,0,1,73,17,0,1,0,0,6,37,0,0,16,0,2,0,0,0,1,0,0,0,42,2,10,0,0,0,25,0,3,8,0,1,0,7,0,1,1,0,0,79,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,1,7,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,3,0,3,0,1,2,0,0,2,0,0,0,0,0,2,0,22,0,0,1,0,40,1,0,0,0,10,0,0
10014,11,0,0,0,19,1,21,0,0,0,6,0,0,2,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,3,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,35,0,0,1,0,0,2,20
10015,7,1,0,0,3,0,98,3,0,0,4,1,0,14,28,1,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,3,21,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,4,0,0,0,0,6,0,0,0,1,45,2,0,0,0,1,0,1
10016,2,0,0,0,48,0,0,0,0,1,9,2,0,0,46,25,0,0,2,0,2,7,0,1,0,0,29,0,0,0,0,0,1,0,9,26,1,0,0,0,5,18,0,2,9,0,0,1,0,0,0,0,0,0,27,0,1,1,0,0,7,0,1,17,3,0,0,0,0,1,0,1,0,84,1,1,0,1,0,0,0,4,0,0,0,0,2,0,2,0,2,1,4,27,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,6,0,2,0,1,5,0,0,1,0,0,0,0,0,0,1,6,0,1,1,0,101,0,0,2,0,3,0,1
10017,1,0,0,1,44,0,9,3,0,2,2,1,0,39,25,8,4,3,3,0,0,6,1,1,0,2,0,0,1,0,0,0,2,1,7,12,1,0,0,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,12,0,2,1,7,0,3,9,1,0,0,1,0,0,0,2,0,40,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,54,1,0,0,25,3,1,1,0,0,2,0,0,2,0,1,1,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,2,16,1,0,6,2,142,2,1,0,1,0,1,0
10018,2,1,0,0,107,0,2,0,0,2,0,0,0,0,0,69,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,1,0,82,53,2,0,0,0,7,4,0,0,6,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,10,0,6,5,1,8,0,11,0,0,9,0,0,101,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,0,0,1,0,0,1,0,1,0,0,0,0,1,8,0,0,0,0,0,1,0,0,0,4,0,0
10019,24,0,0,0,23,1,99,6,2,1,2,4,1,25,67,10,1,1,1,0,0,8,0,0,0,0,0,1,0,0,0,0,1,3,1,0,1,0,0,0,0,0,6,0,6,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,3,0,6,6,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,3,0,0,3,0,2,2,0,0,2,0,4,7,0,0,31,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,7,0,0,0,6,0,0,1,0,6,0,1,0,4,91,1,0,0,0,2,1,12
1002,0,1,0,0,38,1,0,0,0,2,0,0,0,0,0,45,0,0,1,0,3,3,0,2,0,0,21,0,0,0,0,0,0,0,128,28,0,0,0,0,18,264,0,0,5,0,0,2,0,0,0,0,1,1,12,0,0,0,0,0,13,0,4,2,0,20,0,0,0,0,0,0,0,116,0,1,0,0,0,0,0,4,0,3,0,1,0,1,4,0,4,0,0,3,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,1,0,0,0,1,0,0
10020,16,0,0,0,23,0,6,3,0,0,13,2,1,63,27,22,2,2,1,0,0,18,0,4,0,0,0,0,0,0,0,0,2,1,6,2,0,0,0,0,7,18,0,0,17,0,1,2,0,0,1,0,0,0,3,0,5,1,0,2,11,0,20,15,0,1,2,3,6,0,0,1,0,26,0,1,1,0,1,1,1,4,0,1,2,1,0,0,1,0,2,3,17,3,1,0,24,0,0,0,2,0,0,1,0,1,0,0,1,0,0,2,1,2,0,1,2,0,1,0,0,3,2,0,0,1,1,11,0,0,0,0,193,1,0,0,1,0,0,0
10021,0,0,0,0,18,0,0,0,0,26,0,0,0,0,0,2,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,4,0,0,1,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,6,0,2,12,0,0,0,0,0,0,1,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,1,1,0,0
10022,2,0,0,0,102,0,0,0,0,37,0,0,0,0,3,132,0,0,1,0,11,0,0,1,0,1,4,0,0,0,0,0,0,2,37,48,1,2,0,0,8,23,0,1,11,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,17,0,1,1,0,3,0,4,0,0,4,0,0,258,0,0,0,2,0,0,1,14,0,1,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,1,11,0,0,1,0,2,1,0,0,0,0,0,0,2,19,1,0,7,0,0,0,1,1,0,4,1,0
10023,21,0,1,0,18,0,3,0,0,5,2,0,0,9,37,13,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,2,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,6,0,0,3,1,0,0,0,24,1,0,0,0,0,0,39
10024,21,0,0,0,5,0,57,7,0,0,1,3,0,32,79,14,1,6,1,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,19,1,2,0,0,63,0,0,0,0,0,0,1,1,1,0,3,2,1,0,8,11,0,2,1,0,3,2,0,0,1,4,0,0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,2,3,3,1,0,26,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5,1,5,0,0,1,0,1,0,1,0,4,1,1,2,0,101,1,1,0,0,0,1,0
10025,0,0,0,1,12,0,34,0,0,0,10,17,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,7,1,4,3,0,1,0,0,0,0,0,0,1,4,2,5,0,0,0,4,0,26,7,0,0,0,0,1,0,0,2,0,64,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,1,1,0,2,0,2,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,7,8,0,0,0,1,118,1,0,0,0,1,2,0
10026,1,0,0,2,6,0,9,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,93,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,72,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,38,2,0,0,0,0,0,1
10027,2,0,0,0,10,0,4,0,0,1,7,0,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,30,0,0,0,0,0,0,0
10028,1,0,0,1,43,0,2,0,0,0,2,5,0,0,0,14,0,0,4,0,0,7,0,0,0,0,2,0,0,0,0,0,0,1,6,0,0,0,0,0,3,10,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,15,0,10,2,0,8,0,0,0,0,5,1,0,81,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,8,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,1,0,0,1,0,6,0,0,0,0,28,0,0,0,0,3,2,0
10029,0,0,0,0,63,0,0,0,0,4,12,1,0,0,0,21,0,0,2,0,0,4,0,0,0,1,3,0,0,0,0,0,0,0,2,17,0,0,0,0,3,32,0,0,4,0,1,0,0,0,0,0,0,1,9,0,2,0,0,0,20,0,0,0,0,11,0,2,0,0,2,1,0,81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,8,0,1,1,0,5,0,0,1,1,0,1,0
1003,2,0,0,0,35,0,1,0,0,10,5,0,0,0,0,1,3,0,0,0,1,2,0,4,0,0,14,0,1,0,0,0,0,0,0,15,0,0,0,0,5,182,0,0,1,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,12,0,3,23,0,1,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,4,0,0,0,1,0,0,0,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,3,0,0,1,1,2,1,0
10030,1,1,0,0,47,1,0,0,0,6,10,1,0,0,5,24,0,0,0,0,1,2,0,1,0,0,22,0,0,0,0,0,0,0,9,35,1,0,0,0,5,11,0,0,5,0,1,0,0,1,0,0,0,0,10,1,1,0,0,0,6,0,1,11,0,5,0,0,1,0,0,0,0,37,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,1,3,0,0
10031,0,0,0,0,75,0,0,0,0,2,5,1,0,0,0,29,0,0,0,0,1,9,0,0,0,0,3,0,1,0,0,0,0,1,10,15,0,1,0,1,7,72,0,1,2,0,0,0,0,0,0,0,0,0,24,0,2,1,0,0,17,0,4,2,1,7,0,3,0,0,1,1,0,74,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,1,0,1
10032,2,0,0,0,0,1,113,1,0,0,3,1,0,31,30,9,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,21,0,0,21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,4,0,1,0,0,0,6,0,0,0,0,4,0,0,0,6,33,1,0,0,0,0,0,1
10033,11,0,0,10,2,0,27,0,0,0,0,0,0,6,14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,2,0,11,0,0,0,0,0,0,76
10034,38,1,0,0,12,0,54,2,0,0,5,2,0,16,36,4,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,2,0,7,6,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,24,0,0,0,1,1,0,1,0,2,0,1,1,0,1,0,0,0,0,2,0,0,2,0,0,1,1,0,6,2,0,3,0,1,2,1,80,0,0,0,0,0,2,38
10035,2,0,0,0,78,0,0,0,0,3,1,3,0,0,56,9,1,0,0,0,1,5,0,0,0,0,4,0,0,0,0,0,0,0,4,18,0,0,0,0,6,11,0,0,7,0,1,0,0,0,1,0,0,3,13,1,1,1,0,0,9,0,9,2,0,4,0,0,0,0,0,2,0,42,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1,2,3,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,1,0,5,0,0
10036,1,1,0,0,103,0,7,1,0,1,8,4,0,12,0,32,4,1,0,0,1,10,0,2,0,0,6,0,1,0,0,0,0,0,0,13,3,0,1,0,3,0,0,0,46,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,23,0,61,112,1,0,0,3,0,0,0,2,0,80,0,0,0,2,0,0,0,0,0,0,4,0,2,0,0,1,2,1,3,5,4,1,8,0,0,1,0,4,1,3,0,1,0,0,0,0,0,2,1,2,0,1,0,0,1,2,0,1,0,0,0,0,5,3,0,0,0,0,310,1,0,0,0,0,0,0
10037,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
10038,2,0,1,0,26,2,0,0,0,20,14,2,2,1,4,17,0,0,0,0,4,3,0,0,0,0,0,0,1,0,0,0,12,0,3,26,0,1,0,0,5,15,0,0,20,0,1,0,0,0,0,0,0,2,29,1,2,0,0,0,10,0,0,15,0,1,0,0,1,0,0,0,0,40,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,1,0,9,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,6,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,11,1,0,0,0,19,0,0,0,1,2,0,0
